frame= 1075 fps= 21 q=24.0 size=   14592KiB time=00:00:35.76 bitrate=3342.2kbits/s speed=0.694x elapsed=0:00:51.56    
frame= 1087 fps= 21 q=24.0 size=   14848KiB time=00:00:36.16 bitrate=3363.2kbits/s speed=0.694x elapsed=0:00:52.08    
frame= 1098 fps= 21 q=24.0 size=   15104KiB time=00:00:36.53 bitrate=3386.8kbits/s speed=0.695x elapsed=0:00:52.60    
frame= 1109 fps= 21 q=24.0 size=   15104KiB time=00:00:36.90 bitrate=3353.2kbits/s speed=0.695x elapsed=0:00:53.10    
frame= 1120 fps= 21 q=24.0 size=   15360KiB time=00:00:37.26 bitrate=3376.5kbits/s speed=0.695x elapsed=0:00:53.61    
frame= 1131 fps= 21 q=24.0 size=   15360KiB time=00:00:37.63 bitrate=3343.6kbits/s speed=0.695x elapsed=0:00:54.13    
frame= 1142 fps= 21 q=24.0 size=   15616KiB time=00:00:38.00 bitrate=3366.5kbits/s speed=0.695x elapsed=0:00:54.65    
frame= 1153 fps= 21 q=24.0 size=   15872KiB time=00:00:38.36 bitrate=3389.0kbits/s speed=0.695x elapsed=0:00:55.16    
frame= 1163 fps= 21 q=24.0 size=   15872KiB time=00:00:38.70 bitrate=3359.8kbits/s speed=0.695x elapsed=0:00:55.68    
frame= 1173 fps= 21 q=24.0 size=   16128KiB time=00:00:39.03 bitrate=3384.8kbits/s speed=0.695x elapsed=0:00:56.20    
frame= 1183 fps= 21 q=24.0 size=   16128KiB time=00:00:39.36 bitrate=3356.2kbits/s speed=0.694x elapsed=0:00:56.72    
frame= 1191 fps= 21 q=24.0 size=   16384KiB time=00:00:39.63 bitrate=3386.5kbits/s speed=0.692x elapsed=0:00:57.23    
frame= 1200 fps= 21 q=24.0 size=   16384KiB time=00:00:39.93 bitrate=3361.1kbits/s speed=0.691x elapsed=0:00:57.74    
frame= 1209 fps= 21 q=24.0 size=   16640KiB time=00:00:40.23 bitrate=3388.1kbits/s speed=0.69x elapsed=0:00:58.26    
frame= 1218 fps= 21 q=24.0 size=   16640KiB time=00:00:40.53 bitrate=3363.0kbits/s speed=0.69x elapsed=0:00:58.78    
frame= 1226 fps= 21 q=24.0 size=   16896KiB time=00:00:40.80 bitrate=3392.5kbits/s speed=0.688x elapsed=0:00:59.29    
frame= 1236 fps= 21 q=24.0 size=   16896KiB time=00:00:41.13 bitrate=3365.0kbits/s speed=0.688x elapsed=0:00:59.80    
frame= 1244 fps= 21 q=24.0 size=   17152KiB time=00:00:41.40 bitrate=3394.0kbits/s speed=0.686x elapsed=0:01:00.32    
frame= 1253 fps= 21 q=24.0 size=   17408KiB time=00:00:41.70 bitrate=3419.8kbits/s speed=0.685x elapsed=0:01:00.84    
frame= 1261 fps= 21 q=24.0 size=   17664KiB time=00:00:41.96 bitrate=3448.1kbits/s speed=0.684x elapsed=0:01:01.36    
frame= 1270 fps= 21 q=24.0 size=   17920KiB time=00:00:42.26 bitrate=3473.2kbits/s speed=0.683x elapsed=0:01:01.87    
frame= 1279 fps= 20 q=24.0 size=   17920KiB time=00:00:42.56 bitrate=3448.7kbits/s speed=0.682x elapsed=0:01:02.39    
frame= 1287 fps= 20 q=24.0 size=   18176KiB time=00:00:42.83 bitrate=3476.2kbits/s speed=0.681x elapsed=0:01:02.91    
frame= 1296 fps= 20 q=24.0 size=   18432KiB time=00:00:43.13 bitrate=3500.7kbits/s speed=0.68x elapsed=0:01:03.42    
frame= 1304 fps= 20 q=24.0 size=   18432KiB time=00:00:43.40 bitrate=3479.2kbits/s speed=0.679x elapsed=0:01:03.94    
frame= 1313 fps= 20 q=24.0 size=   18688KiB time=00:00:43.70 bitrate=3503.3kbits/s speed=0.678x elapsed=0:01:04.44    
